,model,brand,seg,title,duration,price_range,recall_num
0,2132,기아,경차,올 뉴 모닝(TA),2011.01 ~ 2015.01,871~1387,1
1,2138,쉐보레,경차,스파크(M300),2011.03 ~ 2015.08,952~1508,1
2,2183,기아,경차,레이(TAM),2011.11 ~ 2018.03,1163~1664,1
3,2049,쉐보레,상용,다마스,2008.04 ~ 현재,988~1028,0
4,2052,쉐보레,상용,라보,2008.04 ~ 현재,838~1098,0
5,2175,기아,소형,올 뉴 프라이드(UB),2011.09 ~ 2014.12,915~1721,1
6,2126,현대,소형,엑센트,2010.11 ~ 현재,987~1606,0
7,2143,쉐보레,소형,아베오(T300),2011.03 ~ 2016.12,1422~1998,1
8,2437,미니,소형,쿠퍼(R56),2005.02 ~ 2014.04,2590~4500,1
9,2448,미니,소형,쿠페(R58),2011.11 ~ 2015,4160,0
10,2522,푸조,소형,207,2007.05 ~ 2013,3410,1
11,2537,볼보,소형,C30,2007.03 ~ 2013,3810,0
12,2442,미니,소형,클럽맨(R55),2008.02 ~ 2015.07,3480~4240,0
13,2271,혼다,소형,CR-Z,2011.10 ~ 2013.02,3380~3490,0
14,2440,미니,소형,뉴 컨버터블(R57),2009.03 ~ 2016.04,3830~4360,0
15,2782,BMW,소형,1-series(E82),2007 ~ 2012,,1
16,2872,폭스바겐,소형,뉴 비틀(9C/1Y),1998 ~ 2012,,0
17,2120,현대,준중형,아반떼MD,2010.08 ~ 2013.08,1365~1955,1
18,2089,르노삼성,준중형,뉴 SM3(L38),2009.07 ~ 2012.09,1350~1990,1
19,2135,쉐보레,준중형,크루즈,2011.03 ~ 2015.01,1722~2332,1
20,2061,기아,준중형,포르테(TD/XK),2008.08 ~ 2012.09,1592~1927,1
21,2152,현대,준중형,벨로스터(FS),2011.03 ~ 2015.01,1810~2450,1
22,2314,폭스바겐,준중형,골프(6세대),2009.09 ~ 2013.07,4450,0
23,2177,현대,준중형,i30(GD),2011.10 ~ 2015.01,1820~2330,0
24,2237,렉서스,준중형,CT(ZWA10),2011.01 ~ 2013,4190~4900,0
25,2408,아우디,준중형,뉴 A4(B8),2008.11 ~ 2016.12,8390,1
26,2092,기아,준중형,포르테 하이브리드(TD/XK),2009.07 ~ 2013,2063~2344,0
27,2200,현대,준중형,아반떼HD HEV,2009.07 ~ 2013.11,2054~2324,1
28,2525,푸조,준중형,308 (T7),2008.10 ~ 2014.06,5050,1
29,2266,혼다,준중형,시빅(8세대),2006.11 ~ 2011.04,2650~3630,1
30,2405,아우디,준중형,뉴 A3(8P),2003 ~ 2012,4250,1
31,2232,렉서스,준중형,IS(XE20),2005.09 ~ 2013.06,6490,1
32,2269,혼다,준중형,인사이트(2세대),2010.10 ~ 2012.12,2650~2900,0
33,2813,벤츠,준중형,B-class(w245),2005 ~ 2011,,0
34,3027,닷지,준중형,캘리버,2006.12 ~ 2011.11,,1
35,2474,포드,준중형,포커스(3세대),2011.09 ~ 2017.07,3290~3500,1
36,2328,폭스바겐,준중형,뉴 제타(6세대),2011.05 ~ 2014.12,2990~3540,0
37,2103,현대,중형,YF쏘나타,2009.09 ~ 2014.03,1503~1708,1
38,2118,기아,중형,K5(TF),2010.04 ~ 2013.06,1385~2980,1
39,2112,르노삼성,중형,뉴 SM5 신형(L43),2010.01 ~ 2012.11,1770~2943,0
40,2172,현대,중형,i40(VF),2011.09 ~ 2015.01,2615~3195,0
41,2180,쉐보레,중형,말리부(V300),2011.11 ~ 2016.11,1911~3089,1
42,2160,기아,중형,K5 하이브리드(TF),2011.05 ~ 2015.12,2860~3158,1
