,brand,seg,model,YM,title,sold
0,307,~C,2132,201112,모닝,8142
1,312,~C,2138,201112,스파크,5383
2,307,~C,2183,201112,레이 (2017),4107
3,316,~C,2049,201112,다마스,539
4,316,~C,2052,201112,라보,378
5,307,PC1,2175,201112,프라이드,2052
6,303,PC1,2126,201112,엑센트,1964
7,312,PC1,2143,201112,아베오,405
8,367,PC1,2437,201112,Mini,113
9,367,PC1,2448,201112,Coupe,33
10,413,PC1,2522,201112,207,26
11,459,PC1,2537,201112,C30,18
12,367,PC1,2442,201112,Clubman,11
13,500,PC1,2271,201112,CR-Z,7
14,367,PC1,2440,201112,Convertible,6
15,362,PC1,2782,201112,1 Series,5
16,376,PC1,2872,201112,New Beetle,1
17,303,PC2,2120,201112,아반떼,10442
18,321,PC2,2089,201112,뉴 SM3,2967
19,312,PC2,2135,201112,크루즈,2103
20,307,PC2,2061,201112,포르테,1691
21,303,PC2,2152,201112,벨로스터,530
22,376,PC2,2314,201112,Golf,416
23,303,PC2,2177,201112,i30,344
24,486,PC2,2237,201112,CT,140
25,371,PC2,2408,201112,A4,99
26,307,PC2,2092,201112,포르테 하이브리드,70
27,303,PC2,2200,201112,아반떼 하이브리드,58
28,413,PC2,2525,201112,308,57
29,500,PC2,2266,201112,CIVIC,27
30,371,PC2,2405,201112,A3,24
31,486,PC2,2232,201112,IS,21
32,500,PC2,2269,201112,INSIGHT,19
33,349,PC2,2813,201112,B-Class,19
34,592,PC2,3027,201112,Caliber,8
35,569,PC2,2474,201112,Focus,3
36,376,PC2,2328,201112,Jetta,1
37,303,PC3,2103,201112,쏘나타(YF),7307
38,307,PC3,2118,201112,K5,6975
39,321,PC3,2112,201112,뉴 SM5 신형,4178
40,303,PC3,2172,201112,i40,1599
41,312,PC3,2180,201112,말리부,1330
42,307,PC3,2160,201112,K5 하이브리드,750
43,303,PC3,2157,201112,쏘나타 하이브리드,683
44,349,PC3,2383,201112,C-Class,492
45,376,PC3,2863,201112,CC,186
46,486,PC3,2229,201112,ES,174
47,362,PC3,2789,201112,3 Series,102
48,394,PC3,2568,201112,XF,89
49,509,PC3,2274,201112,G,80
50,413,PC3,2528,201112,508,69
51,371,PC3,2411,201112,A5,59
52,569,PC3,3059,201112,FUSION,45
53,528,PC3,2668,201112,Legacy,42
54,546,PC3,2499,201112,CTS,23
55,459,PC3,2542,201112,S60,19
56,459,PC3,2551,201112,V60,2
57,349,PC3,2837,201112,CL-Class,1
58,583,PC3,2960,201112,200,1
59,303,PC4,2129,201112,그랜저HG,7817
60,307,PC4,2106,201112,K7,2157
61,321,PC4,2169,201112,SM7,1133
62,316,PC4,2123,201112,알페온,1013
63,349,PC4,2385,201112,E-Class,917
64,362,PC4,2351,201112,5 Series,366
65,371,PC4,2414,201112,A6,162
66,500,PC4,2260,201112,Accord,153
67,362,PC4,2366,201112,Gran Turismo,105
68,349,PC4,2394,201112,CLS-Class,104
69,371,PC4,2417,201112,A7,27
70,514,PC4,2300,201112,ALTIMA,20
71,546,PC4,2502,201112,STS,8
72,573,PC4,2494,201112,MKZ,3
73,349,PC4,2829,201112,CLS-Class,0
74,303,PC5,2043,201112,제네시스 (BH),2229
75,303,PC5,2075,201112,에쿠스,1089
76,307,PC5,2081,201112,오피러스,627
77,326,PC5,2166,201112,체어맨 W,383
78,326,PC5,2041,201112,체어맨 H  뉴 클래식,298
79,349,PC5,2388,201112,S-Class,269
80,362,PC5,2357,201112,7 Series,252
81,371,PC5,2420,201112,A8,125
82,569,PC5,2482,201112,Taurus,105
83,486,PC5,2713,201112,LS,75
84,509,PC5,2283,201112,M,66
85,573,PC5,2947,201112,MKS,50
86,459,PC5,2545,201112,S80,40
87,583,PC5,2957,201112,300C,33
88,376,PC5,2343,201112,Phaeton,29
89,394,PC5,2562,201112,XJ,27
90,390,PC5,3035,201112,Continental,10
91,573,PC5,2956,201112,Town Car,5
92,385,PC5,2702,201112,Ghost,4
93,546,PC5,2505,201112,DTS,2
94,390,PC5,2708,201112,Mulsanne,1
95,307,RB~,2183,201112,레이 (2017),4107
96,307,RB~,2066,201112,쏘울,938
97,514,RB~,2297,201112,CUBE,341
98,307,RU2,2115,201112,스포티지 R,4799
99,303,RU2,2100,201112,투싼 ix,3776
100,326,RU2,2146,201112,코란도 C,1223
101,367,RU2,2445,201112,Countryman,190
102,376,RU2,2337,201112,Tiguan,80
103,587,RU2,2468,201112,Wrangler,71
104,587,RU2,2471,201112,Compass,64
105,569,RU2,2940,201112,ESCAPE,41
106,399,RU2,2579,201112,Range Rover Evoque,38
107,362,RU2,2368,201112,X1,32
