,brand,seg,model,YM,title,sub_title,sub_sold
0,307,~C,3239,201501,더 뉴 모닝,1.0,5297
1,307,~C,3239,201501,더 뉴 모닝,1.0 LPG,185
2,307,~C,3239,201501,더 뉴 모닝,1.0 VAN,298
3,312,~C,2138,201501,스파크,1.0,4652
4,312,~C,2138,201501,스파크,1.0 LPG,408
5,312,~C,2138,201501,스파크,1.0 VAN,110
6,312,~C,2138,201501,스파크,1.0 VAN LPG,51
7,307,~C,2183,201501,레이 (2017),1.0,1792
8,307,~C,2183,201501,레이 (2017),1.0 LPG,48
9,307,~C,2183,201501,레이 (2017),1.0 VAN,165
10,316,~C,2049,201501,다마스,0.8 COACH,208
11,316,~C,2049,201501,다마스,0.8 VAN,350
12,303,PC1,2126,201501,엑센트,1.4,829
13,303,PC1,2126,201501,엑센트,1.6,146
14,303,PC1,2126,201501,엑센트,1.6 DSL,81
15,307,PC1,3237,201501,더 뉴 프라이드,1.4 5DR DSL,20
16,307,PC1,3237,201501,더 뉴 프라이드,1.4 4DR,268
17,307,PC1,3237,201501,더 뉴 프라이드,1.4 5DR,167
18,307,PC1,3237,201501,더 뉴 프라이드,1.6 4DR,146
19,307,PC1,3237,201501,더 뉴 프라이드,1.6 5DR,181
20,362,PC1,2346,201501,1 Series,118d Urban,453
21,362,PC1,2346,201501,1 Series,120d Sport,1
22,367,PC1,3164,201501,Hatch,1.5 Cooper,23
23,367,PC1,3164,201501,Hatch,1.5 Cooper five-door,33
24,367,PC1,3164,201501,Hatch,1.5 Cooper D,36
25,367,PC1,3164,201501,Hatch,1.5 Cooper D five-door,122
26,367,PC1,3164,201501,Hatch,2.0 Cooper S,18
27,367,PC1,3164,201501,Hatch,2.0 Cooper S five-door,24
28,367,PC1,3164,201501,Hatch,2.0 Cooper SD,4
29,367,PC1,3164,201501,Hatch,2.0 Cooper SD five-door,15
30,312,PC1,2143,201501,아베오,4DR 1.4,110
31,312,PC1,2143,201501,아베오,4DR 1.6,1
32,312,PC1,2143,201501,아베오,5DR 1.4,123
33,349,PC1,3094,201501,A-Class,A 180 CDI,116
34,349,PC1,3094,201501,A-Class,A 200 CDI,1
35,376,PC1,2642,201501,Beetle,2.0 TDI,78
36,413,PC1,2714,201501,208,1.4 e-HDi 5D,13
37,413,PC1,2714,201501,208,1.6 e-HDi 5D,31
38,362,PC1,3130,201501,2 Series,220d Coupe,29
39,376,PC1,3217,201501,New Scirocco,R-Line,11
40,367,PC1,2440,201501,Convertible,Cooper,4
41,367,PC1,2440,201501,Convertible,Cooper S,6
42,422,PC1,2514,201501,DS3,1.6 e-HDi,6
43,422,PC1,2514,201501,DS3,Cabrio,1
44,367,PC1,2451,201501,Roadster,Cooper,3
45,367,PC1,2451,201501,Roadster,Cooper S,1
46,367,PC1,2448,201501,Coupe,Cooper S,1
47,367,PC1,2448,201501,Coupe,John Cooper Works,1
48,303,PC2,3104,201501,더 뉴 아반떼,MD 1.6,3575
49,303,PC2,3104,201501,더 뉴 아반떼,MD 1.6 DSL,527
50,303,PC2,3104,201501,더 뉴 아반떼,MD LPI,251
51,307,PC2,2588,201501,K3,1.6 4DR,2040
52,307,PC2,2588,201501,K3,1.6 4DR DSL,275
53,307,PC2,2588,201501,K3,1.6 5DR,9
54,312,PC2,2135,201501,크루즈,1.4,60
55,312,PC2,2135,201501,크루즈,1.8,708
56,312,PC2,2135,201501,크루즈,2.0 DSL,243
57,312,PC2,2135,201501,크루즈,5DR 1.4,8
58,312,PC2,2135,201501,크루즈,5DR 1.8,7
59,312,PC2,2135,201501,크루즈,5DR 2.0 DSL,7
60,321,PC2,3191,201501,SM3,1.6,1008
61,349,PC2,3140,201501,C-class,C200,176
62,349,PC2,3140,201501,C-class,C220 BlueTEC,523
63,349,PC2,3140,201501,C-class,C250 BlueTEC 4MATIC,72
64,349,PC2,3140,201501,C-class,C220 CDI Coupe,2
65,376,PC2,3095,201501,Golf,1.6 TDI BlueMotion,86
66,376,PC2,3095,201501,Golf,2.0 TDI,440
67,376,PC2,3095,201501,Golf,GTD,30
68,376,PC2,3095,201501,Golf,GTI,11
69,371,PC2,2408,201501,A4,30 TDI,212
70,371,PC2,2408,201501,A4,35 TDI quattro,191
71,371,PC2,2408,201501,A4,40 TFSI quattro,33
72,371,PC2,2408,201501,A4,S4 3.0 TFSI quattro,2
73,371,PC2,3145,201501,A3,25 TDI,128
74,371,PC2,3145,201501,A3,35 TDI,115
75,371,PC2,3145,201501,A3,Sportback 25 TDI,26
76,371,PC2,3145,201501,A3,Sportback 35 TDI,31
77,376,PC2,3229,201501,Jetta,2.0 TDI BMT,235
78,303,PC2,2177,201501,i30,5DR 1.6,1
79,303,PC2,2177,201501,i30,5DR 1.6 DSL,162
80,303,PC2,2177,201501,i30,5DR 2.0,21
81,303,PC2,2152,201501,벨로스터,1.6,94
82,459,PC2,2548,201501,V40,D2,79
83,459,PC2,2548,201501,V40,D4,1
84,459,PC2,2548,201501,V40,T5,6
85,413,PC2,3198,201501,308,2.0 BLUe-HDi,31
86,413,PC2,3198,201501,308,2.0 BLUe-HDi SW,17
87,307,PC2,3108,201501,K3 쿱,1.6 2DR,32
88,486,PC2,3189,201501,CT,200h,26
89,486,PC2,3098,201501,IS,2.5 250,15
90,569,PC2,2474,201501,Focus,2.0 TDCi,14
91,349,PC2,3147,201501,CLA-Class,CLA 200 CDI,1
92,349,PC2,3147,201501,CLA-Class,CLA 250 4MATIC,7
93,349,PC2,3147,201501,CLA-Class,CLA 45 AMG 4MATIC,6
94,349,PC2,2380,201501,B-Class,B 200 CDI,14
